name;categories;subcategories;calories;protein;fat;carbs;calcium;iron;magnesium;allergens
Meatloaf, baked in the oven;Gerichte;Sonstige salzige;166.0;15.8;7.7;8.2;13.0;1.3;16.0;
Oatmeal;Brote, Flocken und Frühstückscerealien;Flocken, Kleie und Keime;381.0;13.5;7.5;59.5;53.0;3.8;120.0;
Oat bran;Brote, Flocken und Frühstückscerealien;Flocken, Kleie und Keime;371.0;18.5;7.0;50.8;58.0;5.4;240.0;
Semi-skimmed milk 1.5% fat, UHT;Milch und Milchprodukte;Milch;46.0;3.2;1.5;4.8;120.0;0.0;12.0;milk
Half-fat butter;Fette und Öle;Fette,Milch und Milchprodukte;391.0;4.8;39.8;3.5;120.0;0.0;14.0;
Half cream, pasteurised;Fette und Öle;Rahm,Milch und Milchprodukte;274.0;2.3;27.9;3.3;78.0;0.0;7.0;
Half cream, UHT;Fette und Öle;Rahm,Milch und Milchprodukte;251.0;2.5;25.1;3.7;91.0;0.0;8.6;
Half-white bread;Brote, Flocken und Frühstückscerealien;Brote und Brotwaren;240.0;9.4;1.1;46.4;16.0;1.8;38.0;
Half-white bread;Brote, Flocken und Frühstückscerealien;Brote und Brotwaren;240.0;9.4;1.1;46.4;16.0;1.8;38.0;
Hemp oil;Fette und Öle;Öle;810.0;0.0;90.0;0.0;0.0;0.0;0.0;
Hard and semi-hard cheese, full-fat;Milch und Milchprodukte;Hartkäse;397.0;26.6;32.1;0.0;910.0;0.3;32.0;milk
Hard caramels, hard sweets;Süssigkeiten;Bonbons, Frucht- und Kaugummi;385.0;0.5;0.3;95.0;4.0;0.1;3.0;
Durum wheat semolina, dry;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Sonstige Getreideprodukte;353.0;12.0;1.4;71.4;17.0;0.9;27.0;gluten
Hare , raw;Fleisch und Innereien;Sonstige Tierarten;115.0;22.0;3.0;0.0;14.0;2.8;24.0;
Hazelnut;Nüsse, Samen und Ölfrüchte;;661.0;16.4;59.5;10.1;160.0;3.6;160.0;hazelnut
Hazelnut chocolate spread;Süssigkeiten;Konfitüren und süsse Brotaufstriche;548.0;6.0;32.7;55.9;130.0;1.2;50.0;hazelnut
Hazelnut biscuits;Süssigkeiten;Guetzli;473.0;6.7;27.7;47.4;80.0;1.6;49.0;hazelnut
Hazelnut macaroon;Süssigkeiten;Guetzli;544.0;12.2;37.0;37.5;100.0;2.3;100.0;hazelnut
Hazelnut oil;Fette und Öle;Öle;810.0;0.0;90.0;0.0;0.0;0.0;0.0;hazelnut
Hazelnut stalks;Süssigkeiten;Guetzli;567.0;10.5;36.6;47.0;61.0;1.9;55.0;hazelnut
Pike, raw;Fisch;Süsswasserfische;81.0;18.4;0.9;0.0;32.0;0.5;28.0;
Yeast dough , sweet, unbaked;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Teige;311.0;8.7;11.1;43.2;34.0;1.1;22.0;
Yeast dough , sweet, unbaked;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Teige;304.0;9.2;11.4;40.0;35.0;1.1;24.0;
Blueberry, freeze-dried;Früchte;Früchte getrocknet;338.0;6.1;4.4;56.4;120.0;1.8;49.0;
Blueberry, raw;Früchte;Früchte frisch;52.0;0.9;0.3;10.6;10.0;0.6;5.0;
Halibut, raw;Fisch;Meeresfische;118.0;20.6;3.9;0.0;15.0;0.5;23.0;
Raspberry, raw;Früchte;Früchte frisch;44.0;1.2;0.8;5.8;16.0;0.4;20.0;
Ham in the rear;Fleisch- und Wurstwaren;Kochwurstware;104.0;20.2;2.3;0.7;17.0;0.6;24.0;
Venison , raw;Fleisch und Innereien;Wild;112.0;20.6;3.3;0.0;10.0;2.3;21.0;
Venison, entrecôte, raw;Fleisch und Innereien;Wild;111.0;23.1;2.1;0.0;3.2;3.0;23.0;
Millet, grain hulled;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Sonstige Getreideprodukte;360.0;10.6;3.9;68.8;9.5;6.9;120.0;
Millet flakes, wholemeal;Brote, Flocken und Frühstückscerealien;Flocken, Kleie und Keime;360.0;10.6;3.9;68.8;10.0;6.9;120.0;
Hirsotto, cooked;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Sonstige Getreideprodukte;144.0;3.7;3.0;24.8;11.0;2.3;44.0;
Hollandaise sauce;Verschiedenes;Saucen;212.0;3.0;18.0;9.3;41.0;0.7;6.0;
Elderberry, black, raw;Früchte;Früchte frisch;63.0;2.5;1.7;7.4;37.0;1.6;30.0;
Honey;Süssigkeiten;Konfitüren und süsse Brotaufstriche;306.0;0.4;0.0;76.0;5.0;0.5;3.0;
Hen's egg, whole, hard-boiled;Eier;;156.0;14.0;10.9;0.3;46.0;1.7;12.0;egg
Hen's egg, whole, raw;Eier;;140.0;12.6;9.8;0.3;48.0;1.8;12.0;egg
Chicken egg yolk, raw;Eier;;349.0;16.4;31.3;0.3;140.0;5.5;12.0;egg
Chicken egg white, raw;Eier;;45.0;10.8;0.0;0.4;5.1;0.0;11.0;egg
Legumes , cooked;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Hülsenfrüchte;127.0;9.6;1.9;14.7;36.0;2.0;44.0;
Pulses , dried;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Hülsenfrüchte;336.0;25.1;4.9;39.7;96.0;6.0;130.0;
Hummus;Verschiedenes;Saucen;204.0;7.3;14.0;9.4;170.0;2.1;75.0;
Cottage cheese, nature;Milch und Milchprodukte;Frischkäse und Quark;100.0;12.4;4.5;2.4;69.0;0.0;6.2;milk
Instant mashed potatoes, prepared;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Kartoffeln;80.0;2.0;2.8;11.5;46.0;0.4;13.0;
Hunter's sauce;Verschiedenes;Saucen;58.0;2.2;1.8;8.0;17.0;0.7;8.0;
Yoghurt Bifidus, nature;Milch und Milchprodukte;Joghurt und Sauermilch;66.0;4.0;3.6;4.5;150.0;0.0;12.0;milk
Yoghurt sweetened;Milch und Milchprodukte;Joghurt und Sauermilch;105.0;3.7;3.4;14.7;120.0;0.1;15.0;milk
Flavoured yoghurt, lean, with sweeteners;Milch und Milchprodukte;Joghurt und Sauermilch;47.0;4.4;0.1;7.0;100.0;0.1;11.0;milk
Yoghurt with fruit, lean, with sweeteners;Milch und Milchprodukte;Joghurt und Sauermilch;49.0;4.5;0.1;7.0;110.0;0.1;11.0;milk
Yoghurt, Strawberry;Milch und Milchprodukte;Joghurt und Sauermilch;101.0;3.4;2.7;15.2;110.0;0.1;11.0;milk
Yoghurt, Hazelnut;Milch und Milchprodukte;Joghurt und Sauermilch;119.0;3.8;4.6;15.0;110.0;0.1;16.0;milk
Yoghurt, Mocha;Milch und Milchprodukte;Joghurt und Sauermilch;99.0;3.7;3.1;14.1;130.0;0.1;13.0;milk
Yoghurt, Mocha, Organic;Milch und Milchprodukte;Joghurt und Sauermilch;95.0;3.4;3.3;13.1;120.0;0.2;18.0;milk
Yoghurt, nature;Milch und Milchprodukte;Joghurt und Sauermilch;66.0;3.9;3.6;4.5;140.0;0.0;12.0;milk
Yoghurt, nature, lean;Milch und Milchprodukte;Joghurt und Sauermilch;42.0;4.7;0.1;5.5;160.0;0.1;15.0;milk
Yoghurt, chocolate;Milch und Milchprodukte;Joghurt und Sauermilch;120.0;3.9;3.9;16.9;130.0;0.3;18.0;milk
Yoghurt, vanilla;Milch und Milchprodukte;Joghurt und Sauermilch;98.0;3.7;3.0;14.0;130.0;0.0;11.0;milk
Yoghurt alternative made from soy, with fruit or flavouring;Milch und Milchprodukte;Milchersatzprodukte;82.0;3.4;1.8;12.2;0.0;0.5;19.0;milk
Yoghurt alternative made from soy, with fruit or flavouring, enriched with calcium;Milch und Milchprodukte;Milchersatzprodukte;82.0;3.4;1.8;12.2;120.0;0.5;19.0;milk
Yoghurt alternative made from soy, natural;Milch und Milchprodukte;Milchersatzprodukte;45.0;4.0;2.2;1.5;13.0;0.4;22.0;milk
Yoghurt alternative made from soy, natural, enriched with calcium;Milch und Milchprodukte;Milchersatzprodukte;45.0;4.0;2.2;1.5;120.0;0.4;22.0;milk
Currant, red, raw;Früchte;Früchte frisch;50.0;1.6;0.7;7.1;38.0;0.4;12.0;
Currant, black, raw;Früchte;Früchte frisch;71.0;1.3;0.9;9.7;57.0;1.2;23.0;
Coffee soluble, powder;Alkoholfreie Getränke;Kaffee;253.0;11.2;0.0;42.6;170.0;4.4;390.0;
Coffee, black, unsweetened;Alkoholfreie Getränke;Kaffee;2.0;0.1;0.0;0.3;8.0;0.0;3.3;
Coffee cream;Fette und Öle;Rahm,Milch und Milchprodukte;161.0;2.6;15.0;3.8;96.0;0.0;8.2;
Cocoa butter;Fette und Öle;Fette;900.0;0.0;100.0;0.0;0.0;0.0;0.0;
Cocoa powder;Süssigkeiten;Schokolade und Kakaoerzeugnisse,Alkoholfreie Getränke;419.0;22.5;24.5;10.8;110.0;13.0;410.0;
Persimmon, raw;Früchte;Früchte frisch;70.0;0.9;0.3;14.3;6.9;0.1;7.2;
Veal, breast, cooked;Fleisch und Innereien;Kalb;234.0;23.5;15.5;0.0;6.1;0.9;15.0;
Veal, breast, raw;Fleisch und Innereien;Kalb;204.0;18.3;14.5;0.0;5.3;0.6;18.0;
Veal, corner piece, raw;Fleisch und Innereien;Kalb;103.0;22.2;1.6;0.0;5.0;2.3;27.0;
Veal, fillet, raw;Fleisch und Innereien;Kalb;119.0;21.2;3.8;0.0;17.0;1.4;25.0;
Veal, minced meat, raw;Fleisch und Innereien;Kalb;104.0;20.5;2.4;0.0;4.9;0.8;20.0;
Veal, cut into strips, roasted;Fleisch und Innereien;Kalb;123.0;28.2;1.1;0.0;5.8;0.8;25.0;
Veal, cut into strips, raw;Fleisch und Innereien;Kalb;98.0;22.0;1.1;0.0;4.8;0.6;22.0;
Veal, shank, braised;Fleisch und Innereien;Kalb;165.0;29.7;5.1;0.0;6.6;3.5;26.0;
Veal, shank, raw;Fleisch und Innereien;Kalb;122.0;20.7;4.4;0.0;5.0;2.3;26.0;
Veal, cutlet, raw;Fleisch und Innereien;Kalb;161.0;20.7;8.7;0.0;5.3;0.6;19.0;
Veal, liver, raw;Fleisch und Innereien;Kalb;135.0;19.6;4.3;4.6;9.0;7.4;19.0;
Veal, milks, raw;Fleisch und Innereien;Kalb;99.0;17.2;3.4;0.0;4.0;1.9;16.0;
Calf, kidney, raw;Fleisch und Innereien;Kalb;112.0;15.8;5.0;1.0;11.0;12.0;16.0;
Veal, kidney piece, steak, roasted;Fleisch und Innereien;Kalb;144.0;27.3;3.9;0.0;21.0;1.8;29.0;
Veal, kidney piece, steak, raw;Fleisch und Innereien;Kalb;113.0;22.8;2.4;0.0;4.7;0.5;21.0;
Veal, round mock, raw;Fleisch und Innereien;Kalb;104.0;21.9;1.8;0.0;4.0;0.5;20.0;
Veal, shoulder, roast, roasted in the oven;Fleisch und Innereien;Kalb;163.0;28.6;5.4;0.0;30.0;2.0;30.0;
Veal, shoulder, roast, raw;Fleisch und Innereien;Kalb;124.0;20.2;4.8;0.0;22.0;1.4;23.0;
Veal, starter, raw;Fleisch und Innereien;Kalb;102.0;20.0;2.4;0.0;4.7;0.6;19.0;
Veal, tongue, raw;Fleisch und Innereien;Kalb;181.0;17.2;11.6;1.9;9.0;2.8;17.0;
Veal , raw;Fleisch und Innereien;Kalb;128.0;21.1;4.8;0.0;9.7;1.1;22.0;
Veal sausage;Fleisch- und Wurstwaren;Brühwurstware;228.0;12.5;19.2;1.2;20.0;0.5;12.0;
Squid, raw;Fisch;Meeresfrüchte, Krusten- und Schalentiere;83.0;16.0;1.1;2.3;14.0;0.6;40.0;mollusk
Rabbit , cooked;Fleisch und Innereien;Sonstige Tierarten;205.0;28.0;10.3;0.0;19.0;2.2;34.0;
Rabbit , raw;Fleisch und Innereien;Sonstige Tierarten;150.0;20.5;7.5;0.0;14.0;1.6;25.0;
Rabbit, fillet, raw;Fleisch und Innereien;Sonstige Tierarten;111.0;24.3;1.5;0.0;4.5;0.3;28.0;
Carrot, steamed;Gemüse;Gemüse gekocht (inkl. Konserven);40.0;0.8;0.3;7.0;33.0;0.2;8.0;
Carrot, raw;Gemüse;Gemüse frisch;38.0;0.8;0.3;6.6;31.0;0.2;8.4;
Carrot juice;Alkoholfreie Getränke;Frucht- und Gemüsesäfte,Gemüse;33.0;0.7;0.1;6.8;24.0;0.5;13.0;
Potato, peeled, steamed;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Kartoffeln;75.0;2.0;0.1;15.6;5.8;0.4;18.0;
Potato, peeled, raw;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Kartoffeln;76.0;2.0;0.1;15.6;6.0;0.4;19.0;
Potato flakes, with milk powder and salt;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Kartoffeln;365.0;11.3;5.3;65.5;230.0;2.0;71.0;
Potato starch;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Mehle und Stärke,Verschiedenes;336.0;0.6;0.1;83.1;35.0;1.8;6.0;
Mashed potatoes, prepared;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Kartoffeln;139.0;2.0;8.4;12.9;18.0;0.3;16.0;
Mashed potatoes, prepared;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Kartoffeln;88.0;2.2;2.6;13.2;27.0;0.3;17.0;
Mashed potatoes, prepared;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Kartoffeln;90.0;2.2;2.8;13.2;27.0;0.3;16.0;
Cheese in brine;Milch und Milchprodukte;Frischkäse und Quark,Milch und Milchprodukte;256.0;16.0;20.7;1.4;480.0;0.2;20.0;milk
Cheese in brine;Milch und Milchprodukte;Frischkäse und Quark,Milch und Milchprodukte;242.0;16.7;18.8;1.5;450.0;0.2;20.0;milk
Cheese butter;Fette und Öle;Fette,Milch und Milchprodukte;747.0;0.4;82.5;0.6;12.0;0.0;1.0;
Cheese slice, prepared;Gerichte;Sonstige salzige;272.0;13.8;12.1;26.0;310.0;1.2;34.0;
Kefe, steamed;Gemüse;Gemüse gekocht (inkl. Konserven);73.0;4.3;0.2;10.8;22.0;1.8;31.0;
Kefe, raw;Gemüse;Gemüse frisch;68.0;4.0;0.2;10.0;20.0;2.0;30.0;
Ketchup;Verschiedenes;Saucen;117.0;2.0;0.4;26.0;19.0;0.9;19.0;
Chickpea, cooked;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Hülsenfrüchte;127.0;7.3;2.0;16.8;44.0;1.9;48.0;
Chickpea, dried;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Hülsenfrüchte;327.0;18.6;4.9;44.3;120.0;5.4;140.0;
Kirsch;Alkoholhaltige Getränke;Spirituosen;233.0;0.0;0.0;0.0;1.9;0.0;0.0;
Cherry, stewed, drained;Früchte;Früchte gekocht (inkl. Konserven);58.0;0.9;0.5;12.0;11.0;0.2;8.1;
Cherry, raw;Früchte;Früchte frisch;62.0;0.8;0.4;13.0;9.9;0.2;8.8;
Kiwi, raw;Früchte;Früchte frisch;58.0;0.9;0.6;11.0;33.0;0.2;13.0;
Crispbread, wholemeal;Brote, Flocken und Frühstückscerealien;Knäckebrote, Zwieback, Crackers und Waffeln;332.0;12.0;1.7;61.1;26.0;4.0;100.0;
Crispbread, wholemeal with linseed;Brote, Flocken und Frühstückscerealien;Knäckebrote, Zwieback, Crackers und Waffeln;352.0;12.9;5.7;55.2;47.0;4.3;130.0;
Crispbread, wholemeal with sesame seeds;Brote, Flocken und Frühstückscerealien;Knäckebrote, Zwieback, Crackers und Waffeln;360.0;13.1;6.9;55.3;120.0;4.4;130.0;sesame
Garlic, raw;Gemüse;Gemüse frisch;137.0;7.0;0.5;24.5;38.0;1.4;21.0;
Celeriac, steamed;Gemüse;Gemüse gekocht (inkl. Konserven);29.0;1.5;0.3;2.4;43.0;0.6;11.0;
Celeriac, raw;Gemüse;Gemüse frisch;28.0;1.5;0.3;2.4;43.0;0.7;12.0;
Button flour;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Mehle und Stärke;351.0;11.9;1.3;71.3;15.0;0.8;24.0;
Cooking butter;Fette und Öle;Fette,Milch und Milchprodukte;745.0;0.5;82.2;0.7;16.0;0.0;1.4;
Cooked cured products;Fleisch- und Wurstwaren;Kochwurstware;223.0;19.8;15.6;0.7;9.8;0.5;21.0;
Table salt;Verschiedenes;Salz, Gewürze und Aromen;0.0;0.0;0.0;0.0;10.0;0.3;1.0;
Cooked bacon;Fleisch- und Wurstwaren;Rohwurstware;322.0;17.8;27.6;0.6;10.0;0.4;16.0;
Cooked sausages;Fleisch- und Wurstwaren;Kochwurstware;278.0;15.4;23.5;1.1;25.0;8.7;11.0;
Cabbage vegetables , cooked;Gemüse;Gemüse gekocht (inkl. Konserven);28.0;2.2;0.3;2.9;50.0;0.5;17.0;
Cabbage , raw;Gemüse;Gemüse frisch;29.0;2.2;0.3;3.0;52.0;0.7;19.0;
Kohlrabi, steamed;Gemüse;Gemüse gekocht (inkl. Konserven);28.0;2.0;0.2;3.9;68.0;0.4;43.0;
Kohlrabi, raw;Gemüse;Gemüse frisch;27.0;1.9;0.2;3.7;64.0;0.5;43.0;
Coconut oil;Fette und Öle;Fette;894.0;0.8;99.0;0.0;2.0;0.0;200.0;
Coconut macaroons;Süssigkeiten;Guetzli;567.0;6.9;41.4;37.1;8.3;1.8;66.0;
Coconut;Nüsse, Samen und Ölfrüchte;;384.0;4.6;36.5;4.8;20.0;2.3;39.0;
Coconut, dried;Nüsse, Samen und Ölfrüchte;;681.0;7.6;65.2;8.4;11.0;2.8;100.0;
Coconut milk;Nüsse, Samen und Ölfrüchte;;214.0;2.4;21.3;3.1;18.0;3.3;46.0;
Condensed milk, sweetened;Milch und Milchprodukte;Milch;339.0;8.0;10.0;54.3;280.0;0.2;24.0;milk
Condensed milk, unsweetened;Milch und Milchprodukte;Milch;131.0;6.4;7.6;9.3;240.0;0.1;27.0;milk
Jam;Süssigkeiten;Konfitüren und süsse Brotaufstriche;246.0;0.5;0.5;58.7;18.0;1.4;2.0;
Jam, energy-reduced, with sweeteners;Süssigkeiten;Konfitüren und süsse Brotaufstriche;136.0;0.5;0.5;31.9;19.0;0.4;1.0;
Lettuce, raw;Gemüse;Gemüse frisch;14.0;1.3;0.2;1.1;31.0;0.4;7.6;
Cutlet , fried;Fleisch und Innereien;;223.0;28.8;12.0;0.0;7.0;0.6;26.0;
Cutlet , raw;Fleisch und Innereien;Schwein,Fleisch und Innereien;177.0;21.3;10.2;0.0;5.1;0.5;21.0;
Crustaceans , raw;Fisch;Meeresfrüchte, Krusten- und Schalentiere;75.0;15.5;1.0;1.0;30.0;1.2;34.0;
Cake batter , unbaked;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Teige;375.0;6.7;21.2;38.5;11.0;0.8;19.0;
Cake batter , unbaked;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Teige;392.0;6.6;23.3;38.1;7.8;0.8;19.0;
Cake dough, wholemeal , unbaked;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Teige;372.0;7.6;21.5;33.8;20.0;2.8;72.0;
Cake dough, wholemeal , unbaked;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Teige;366.0;7.6;21.0;33.8;18.0;2.8;72.0;
Pumpkin Piccata, prepared;Gerichte;Sonstige salzige;136.0;5.0;8.5;9.4;80.0;0.7;11.0;
Pumpkin, steamed;Gemüse;Gemüse gekocht (inkl. Konserven);24.0;0.6;0.1;4.6;19.0;0.3;6.8;
Pumpkin, raw;Gemüse;Gemüse frisch;23.0;0.6;0.1;4.5;18.0;0.4;7.0;
Pumpkin seeds;Nüsse, Samen und Ölfrüchte;;615.0;35.6;49.1;4.7;63.0;8.2;520.0;
Pumpkin seed oil;Fette und Öle;Öle;810.0;0.0;90.0;0.0;0.0;0.0;0.0;
Pumpkin slices, breaded, prepared;Gerichte;Sonstige salzige;139.0;4.3;5.8;16.7;29.0;0.7;11.0;
Salmon, smoked;Fisch;Meeresfische;167.0;23.2;8.2;0.0;10.0;0.0;27.0;fish
Salmon, wild caught, raw;Fisch;Meeresfische;182.0;19.7;11.5;0.0;8.0;0.4;30.0;fish
Salmon, farmed, fillet, steamed;Fisch;Meeresfische;180.0;18.7;11.7;0.0;15.0;0.4;30.0;fish
Salmon, farmed, raw;Fisch;Meeresfische;200.0;19.9;13.4;0.0;12.0;0.4;28.0;fish
"Lamb, fillet, ""medium"" roasted";Fleisch und Innereien;Lamm, Schaf;136.0;25.8;3.6;0.0;14.0;2.4;31.0;
Lamb, fillet, raw;Fleisch und Innereien;Lamm, Schaf;112.0;20.4;3.4;0.0;12.0;1.9;27.0;
Lamb, Gigot, roasted;Fleisch und Innereien;Lamm, Schaf;203.0;28.6;9.8;0.0;6.3;2.3;25.0;
Lamb, Gigot, raw;Fleisch und Innereien;Lamm, Schaf;155.0;20.2;8.2;0.0;4.7;1.6;20.0;
Lamb, chop, raw;Fleisch und Innereien;Lamm, Schaf;179.0;20.2;10.9;0.0;8.4;1.5;20.0;
Lamb, kidney piece, raw;Fleisch und Innereien;Lamm, Schaf;117.0;21.8;3.3;0.0;3.8;1.9;23.0;
Lamb, rack, raw;Fleisch und Innereien;Lamm, Schaf;156.0;20.3;8.3;0.0;7.5;1.8;24.0;
Lamb, pre-meal, raw;Fleisch und Innereien;Lamm, Schaf;154.0;19.6;8.4;0.0;4.6;1.3;18.0;
Lamb/sheep , raw;Fleisch und Innereien;Lamm, Schaf;134.0;20.5;5.8;0.0;6.3;1.7;22.0;
Lamb stew with sauce, prepared;Gerichte;Sonstige salzige;112.0;11.1;6.1;3.0;10.0;0.8;8.9;
Landjäger;Fleisch- und Wurstwaren;Rohwurstware;491.0;26.6;42.7;0.0;21.0;1.9;21.0;
Latte macchiato, unsweetened;Milch und Milchprodukte;Milch- und Joghurtgetränke,Alkoholfreie Getränke;47.0;2.2;2.8;3.2;84.0;0.0;7.6;milk
Lettuce, raw;Gemüse;Gemüse frisch;16.0;1.2;0.3;1.3;37.0;0.3;11.0;
Leek, steamed;Gemüse;Gemüse gekocht (inkl. Konserven);31.0;1.7;0.3;3.9;34.0;0.9;10.0;
Leek, raw;Gemüse;Gemüse frisch;30.0;1.6;0.3;3.7;31.0;0.9;11.0;
Pretzel roll;Brote, Flocken und Frühstückscerealien;Brote und Brotwaren;282.0;9.3;4.9;48.9;57.0;0.5;15.0;
Pretzels dry;Salzige Snacks;Salzsticks und Bretzel;361.0;8.6;4.1;72.1;140.0;0.7;0.0;
Laugengipfeli;Brote, Flocken und Frühstückscerealien;Brote und Brotwaren;423.0;9.1;25.0;39.4;35.0;0.4;11.0;
Liver , roasted;Fleisch und Innereien;;157.0;23.5;5.0;4.4;9.6;13.0;20.0;
Liver , raw;Fleisch und Innereien;Geflügel,Fleisch und Innereien;134.0;20.3;4.3;3.6;7.9;11.0;20.0;
Liver sausage;Fleisch- und Wurstwaren;Kochwurstware;253.0;19.8;19.1;0.5;5.0;3.6;16.0;
Gingerbread;Süssigkeiten;Sonstige süsse Backwaren;404.0;6.5;13.8;61.6;69.0;1.9;45.0;
Gingerbread with chocolate coating;Süssigkeiten;Sonstige süsse Backwaren;444.0;6.5;18.9;60.2;120.0;2.0;48.0;
Linseed oil, cold pressed;Fette und Öle;Öle;810.0;0.0;90.0;0.0;0.9;0.0;0.0;
Linseed;Nüsse, Samen und Ölfrüchte;;533.0;21.3;42.2;3.6;240.0;6.3;320.0;
Lemon Curd;Süssigkeiten;Cremen und Pudding;317.0;6.4;16.0;36.8;26.0;0.9;7.1;
Limburg;Milch und Milchprodukte;Hartkäse;273.0;20.0;21.4;0.0;230.0;0.1;15.0;milk
Lemonade, with flavour, sweetened;Alkoholfreie Getränke;Süssgetränke;38.0;0.0;0.0;9.5;5.0;0.1;11.0;
Lentil, whole, cooked;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Hülsenfrüchte;115.0;8.8;0.5;15.6;22.0;2.5;31.0;
Lentil, whole, dried;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Hülsenfrüchte;324.0;24.4;1.5;44.8;57.0;8.0;96.0;
Lentil, peeled, cooked;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Hülsenfrüchte;134.0;11.0;0.6;19.0;16.0;2.0;30.0;
Lentil, peeled, dried;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Hülsenfrüchte;334.0;27.0;1.5;48.0;33.0;5.6;83.0;
Ladyfingers;Süssigkeiten;Guetzli;413.0;12.2;8.3;71.8;65.0;2.1;15.0;
Luganighe;Fleisch- und Wurstwaren;Rohwurstware;298.0;22.1;22.9;0.5;3.9;1.3;25.0;
Lyon;Fleisch- und Wurstwaren;Brühwurstware;244.0;11.5;21.8;0.5;6.5;0.5;11.0;
Skimmed milk, UHT;Milch und Milchprodukte;Milch;33.0;3.3;0.1;4.7;130.0;0.0;11.0;milk
Skimmed milk powder;Milch und Milchprodukte;Milch;348.0;34.3;1.0;50.5;1290.0;0.8;110.0;milk
Corn chips;Salzige Snacks;Chips;509.0;7.8;27.2;56.0;67.0;1.9;43.0;
Corn, steamed;Gemüse;Gemüse gekocht (inkl. Konserven);100.0;3.5;1.3;16.9;2.4;0.4;28.0;
Maize, raw;Gemüse;Gemüse frisch;93.0;3.3;1.2;15.7;2.2;0.4;27.0;
Maize semolina, cooked;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Mais;79.0;2.0;0.2;16.7;7.3;0.2;5.4;
Maize grits, dry;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Mais;350.0;8.8;1.1;73.8;4.0;1.0;20.0;
Maize germ oil;Fette und Öle;Öle;810.0;0.0;90.0;0.0;0.0;0.0;0.0;
Corn cobs, pickled in vinegar;Gemüse;Gemüse gekocht (inkl. Konserven);119.0;3.4;1.4;21.0;3.0;0.6;33.0;
Maize starch;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Mehle und Stärke,Verschiedenes;354.0;0.3;0.0;88.0;1.0;0.5;2.0;
Malt drink enriched with cocoa, vitamins and minerals, powdered;Alkoholfreie Getränke;Malzextrakthaltige Getränke;382.0;8.9;3.6;76.2;440.0;12.0;190.0;
Malt drink enriched with cocoa, vitamins and minerals, prepared;Alkoholfreie Getränke;Malzextrakthaltige Getränke,Milch und Milchprodukte;84.0;3.6;3.4;9.6;140.0;0.8;23.0;
Tangerine, raw;Früchte;Früchte frisch;47.0;0.8;0.2;9.2;23.0;0.1;9.3;
Almond;Nüsse, Samen und Ölfrüchte;;624.0;25.6;52.1;7.8;270.0;3.3;240.0;shellFruit
Almond, roasted, salted;Salzige Snacks;Gesalzene Nüsse, Samen, Kerne;649.0;25.6;55.2;7.2;240.0;3.3;270.0;shellFruit
Almond, roasted without fat, salted;Salzige Snacks;Gesalzene Nüsse, Samen, Kerne;637.0;25.4;52.5;10.1;270.0;3.7;280.0;shellFruit
Mango, dried;Früchte;Früchte getrocknet;293.0;2.9;2.2;61.1;59.0;2.0;88.0;
Mango, raw;Früchte;Früchte frisch;68.0;0.6;0.6;14.3;15.0;0.1;9.0;
Chard, steamed;Gemüse;Gemüse gekocht (inkl. Konserven);29.0;2.6;0.3;3.4;100.0;2.4;96.0;
Chard, raw;Gemüse;Gemüse frisch;23.0;2.1;0.2;2.7;80.0;2.3;81.0;
Cassava, root tuber, cooked;Gemüse;Gemüse gekocht (inkl. Konserven);131.0;1.0;0.2;29.8;30.0;0.7;59.0;
Cassava, root tuber, raw;Gemüse;Gemüse frisch;140.0;1.0;0.2;32.1;32.0;0.7;65.0;
Margarine;Fette und Öle;Fette;724.0;0.5;80.0;0.5;10.0;0.1;1.8;
Marble cake;Süssigkeiten;Kuchen, Torten und Cake;356.0;7.4;17.1;42.6;44.0;1.0;19.0;
